"ANO","REGIAO","UF","MUNICIPIO","AREA","DEPENDENCIA_ADM","LOCALIZACAO","NOTA_LP","NOTA_MT","SEXO","RACA_COR","MES_NASC","ANO_NASC","COMPUTADOR","ESC_MAE","ESC_PAI","USO_TEMPO_TELAS","AFAZERES_DOM","TRABALHO","PERSPECTIVAS"
"1579",2017,"Nordeste","CE",2307106,"Interior","Municipal","Urbana",247.97568,268.614421,"Masculino","Parda","Novembro","2002","Sim, um","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Não sei","Entre 1 e 2 horas","Não faço trabalhos domésticos","Não","Ainda não sei"
"213",2017,"Nordeste","PE",2607000,"Interior","Estadual","Urbana",246.054244,191.491113,"Feminino","Parda","Setembro","2002","Não tem","Não sei","Não sei","Menos de 1 hora","Menos de 1 hora","Não","Continuar estudando e trabalhar"
"1031",2017,"Sul","SC",4202404,"Interior","Estadual","Urbana",184.328467,238.556422,"Feminino","Branca","Dezembro","2001","Sim, um","Não completou a 4.ª série/5.º ano do Ensino Fundamental","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Mais de 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"1465",2017,"Centro-Oeste","GO",5211503,"Interior","Estadual","Urbana",313.147933,379.270387,"Masculino","Branca","Março","2003","Sim, um","Completou a Faculdade","Completou a Faculdade","Entre 1 e 2 horas","Menos de 1 hora","Não","Somente continuar estudando"
"969",2017,"Sudeste","SP",3505708,"Interior","Municipal","Urbana",232.003618,230.46338,"Masculino","Parda","Abril","2002","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"1184",2017,"Sudeste","SP",3541406,"Interior","Estadual","Urbana",283.675793,291.143836,"Feminino","Parda","Março","2003","Não tem","Não sei","Não sei","Mais de 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"1404",2017,"Sudeste","ES",3205309,"Capital","Municipal","Urbana",261.706213,210.457336,"Feminino","Parda","Agosto","2002","Sim, um","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Não sei","Mais de 3 horas","Entre 1 e 2 horas","Não","Somente continuar estudando"
"1532",2017,"Nordeste","PI",2211001,"Capital","Estadual","Urbana",292.361262,271.886582,"Feminino","Parda","Dezembro","2002","Não tem","Não sei","Não sei","Menos de 1 hora","Menos de 1 hora","Não","Ainda não sei"
"1291",2017,"Sudeste","SP",3550308,"Capital","Municipal","Urbana",161.255366,251.373427,"Masculino","Parda","Abril","2002","Não tem","Completou o Ensino Médio, mas não completou a Faculdade","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Mais de 3 horas","Entre 1 e 2 horas","Sim","Continuar estudando e trabalhar"
"1598",2017,"Nordeste","BA",2922201,"Interior","Municipal","Urbana",242.444967,255.184445,"Masculino","Branca","Janeiro","2003","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Não completou a 4.ª série/5.º ano do Ensino Fundametal","Menos de 1 hora","Menos de 1 hora","Sim","Somente trabalhar"
"1139",2017,"Sul","PR",4119905,"Interior","Estadual","Urbana",268.675964,265.777886,"Masculino","Branca","Fevereiro","2001","Sim, dois","Não sei","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 3 horas","Não faço trabalhos domésticos","Não","Somente continuar estudando"
"614",2017,"Nordeste","BA",2906824,"Interior","Municipal","Urbana",263.721914,258.938677,"Masculino","Não quero declarar","Março","2003","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Não sei","Mais de 2 horas, até 3 horas","Não faço trabalhos domésticos","Não","Continuar estudando e trabalhar"
"995",2017,"Nordeste","PE",2602605,"Interior","Municipal","Urbana",197.380856,254.097898,NA,"Parda","Março","2002","Não tem","Não completou a 4.ª série/5.º ano do Ensino Fundamental","Não completou a 4.ª série/5.º ano do Ensino Fundametal","Menos de 1 hora","Menos de 1 hora","Não","Somente continuar estudando"
"1901",2017,"Nordeste","BA",2901353,"Interior","Municipal","Rural",216.731463,203.536748,"Masculino","Parda","Abril","2002","Não tem","Nunca estudou","Nunca estudou","Mais de 2 horas, até 3 horas","Entre 1 e 2 horas","Sim","Continuar estudando e trabalhar"
"811",2017,"Nordeste","MA",2109106,"Interior","Municipal","Urbana",211.146593,200.535218,"Feminino",NA,"Agosto","2002","Não tem","Completou a Faculdade","Não completou a 4.ª série/5.º ano do Ensino Fundametal","Menos de 1 hora","Não faço trabalhos domésticos","Não","Continuar estudando e trabalhar"
"1509",2017,"Centro-Oeste","GO",5221403,"Interior","Municipal","Urbana",264.492229,190.850699,"Masculino","Preta","Novembro","2001","Não tem","Não completou a 4.ª série/5.º ano do Ensino Fundamental","Completou o Ensino Médio, mas não completou a Faculdade","Entre 1 e 2 horas","Mais de 2 horas, até 3 horas","Não","Continuar estudando e trabalhar"
"749",2017,"Norte","AM",1302553,"Interior","Municipal","Rural",209.021146,267.268254,"Masculino","Não quero declarar","Julho","2001","Não tem","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Entre 1 e 2 horas","Menos de 1 hora","Não","Continuar estudando e trabalhar"
"830",2017,"Nordeste","MA",2101004,"Interior","Municipal","Urbana",262.422041,255.240393,"Feminino","Parda","Abril","2003","Sim, um","Completou a Faculdade","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Mais de 3 horas","Mais de 3 horas","Não","Continuar estudando e trabalhar"
"300",2017,"Sudeste","MG",3137205,"Interior","Estadual","Urbana",264.161669,291.265514,"Feminino","Branca","Janeiro","2003","Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Mais de 2 horas, até 3 horas","Menos de 1 hora","Não","Continuar estudando e trabalhar"
"1748",2017,"Sudeste","RJ",3304557,"Capital","Municipal","Urbana",232.880429,258.116892,"Masculino","Parda","Janeiro","2003","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou a Faculdade","Mais de 2 horas, até 3 horas",NA,"Não","Continuar estudando e trabalhar"
"1571",2017,"Sudeste","ES",3204906,"Interior","Municipal","Urbana",243.344146,237.801931,"Feminino","Preta","Fevereiro","2003","Não tem","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Mais de 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"915",2017,"Sudeste","RJ",3304557,"Capital","Municipal","Urbana",315.233272,307.376868,"Feminino","Amarela","Outubro","2002","Sim, dois","Completou o Ensino Médio, mas não completou a Faculdade","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Mais de 3 horas","Entre 1 e 2 horas","Não","Somente continuar estudando"
"129",2017,"Nordeste","PB",2507507,"Capital","Estadual","Urbana",285.130589,240.495103,"Feminino","Parda","Março","2003","Não tem","Completou o Ensino Médio, mas não completou a Faculdade","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Não vejo TV, não navego na internet e não jogo jogos eletrônicos","Mais de 2 horas, até 3 horas","Não","Continuar estudando e trabalhar"
"1575",2017,"Sul","PR",4107652,"Interior","Estadual","Urbana",201.861929,173.966688,"Masculino",NA,"Agosto","2002","Sim, dois","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Menos de 1 hora","Mais de 3 horas","Não","Ainda não sei"
"16",2017,"Sul","PR",4126256,"Interior","Estadual","Urbana",226.535988,306.610305,"Masculino","Amarela","Maio","2003","Sim, dois","Não sei","Não sei","Mais de 2 horas, até 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"1132",2017,"Nordeste","CE",2312205,"Interior","Municipal","Rural",226.413625,251.966947,"Feminino","Branca","Janeiro","2003","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Não sei","Mais de 2 horas, até 3 horas","Menos de 1 hora","Não","Somente continuar estudando"
"595",2017,"Nordeste","CE",2313104,"Interior","Municipal","Urbana",234.082676,233.683505,"Feminino","Amarela","Abril","2004","Não tem","Não sei","Não sei","Entre 1 e 2 horas","Entre 1 e 2 horas","Não","Somente continuar estudando"
"648",2017,"Sul","SC",4218707,"Interior","Estadual","Rural",245.973367,303.267385,"Masculino","Parda","Maio","2002","Sim, um","Não sei","Não sei","Mais de 3 horas","Menos de 1 hora","Não","Continuar estudando e trabalhar"
"17",2017,"Centro-Oeste","GO",5201108,"Interior","Estadual","Urbana",255.009119,303.413543,"Masculino","Branca","Abril","2002","Sim, dois","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 3 horas","Mais de 2 horas, até 3 horas","Não","Continuar estudando e trabalhar"
"164",2017,"Sudeste","SP",3522109,"Interior","Municipal","Urbana",302.268261,276.003219,"Feminino","Parda","Abril","2003","Não tem","Completou o Ensino Médio, mas não completou a Faculdade",NA,"Mais de 2 horas, até 3 horas","Entre 1 e 2 horas","Não","Somente continuar estudando"
"1590",2017,"Sudeste","SP",3550001,"Interior","Municipal","Urbana",218.556485,212.190948,"Masculino","Branca","Abril","2002","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 2 horas, até 3 horas","Não faço trabalhos domésticos","Não","Somente continuar estudando"
"1221",2017,"Sudeste","SP",3534401,"Interior","Estadual","Urbana",302.049044,284.549995,"Feminino","Amarela","Março","2003","Sim, dois","Completou o Ensino Médio, mas não completou a Faculdade","Não completou a 4.ª série/5.º ano do Ensino Fundametal","Mais de 3 horas","Menos de 1 hora","Não","Continuar estudando e trabalhar"
"728",2017,"Sudeste","RJ",3304557,"Capital","Municipal","Urbana",239.229168,330.17479,"Masculino","Preta","Março","2001","Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Não completou a 4.ª série/5.º ano do Ensino Fundametal","Mais de 3 horas","Menos de 1 hora","Não","Continuar estudando e trabalhar"
"1335",2017,"Nordeste","MA",2100907,"Interior","Municipal","Rural",228.781318,219.542075,"Feminino","Parda","Julho","2003","Sim, três","Não sei","Não sei","Entre 1 e 2 horas","Menos de 1 hora","Não","Continuar estudando e trabalhar"
"849",2017,"Centro-Oeste","GO",5220405,"Interior","Municipal","Urbana",233.56827,269.328893,"Feminino","Parda","Fevereiro","2001","Sim, um","Completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 3 horas","Mais de 2 horas, até 3 horas","Não","Somente continuar estudando"
"1951",2017,"Sudeste","SP",3545803,"Interior","Estadual","Urbana",367.554612,359.918507,"Masculino","Branca","Março","2003","Sim, dois","Não sei","Completou a Faculdade","Mais de 3 horas","Não faço trabalhos domésticos","Não","Somente continuar estudando"
"1108",2017,"Nordeste","AL",2709301,"Interior","Municipal","Rural",279.673426,262.037236,"Feminino","Preta","Novembro","2002","Não tem","Não completou a 4.ª série/5.º ano do Ensino Fundamental","Não sei","Menos de 1 hora","Menos de 1 hora","Não","Somente continuar estudando"
"522",2017,"Norte","AM",1302603,"Capital","Estadual","Urbana",279.579051,249.203966,"Feminino","Branca","Janeiro","2003","Sim, quatro ou mais","Completou a Faculdade","Completou a Faculdade","Mais de 3 horas","Não faço trabalhos domésticos","Sim","Continuar estudando e trabalhar"
"509",2017,"Nordeste","CE",2304400,"Capital","Estadual","Urbana",264.839538,271.013264,"Feminino","Parda","Setembro","2000","Não tem","Não sei","Não sei","Entre 1 e 2 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"554",2017,"Sudeste","RJ",3304524,"Interior","Municipal","Urbana",217.831622,243.324372,"Masculino","Branca","Dezembro","2001","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 2 horas, até 3 horas","Mais de 3 horas","Não","Continuar estudando e trabalhar"
"1595",2017,"Sudeste","SP",3541406,"Interior","Estadual","Urbana",225.856301,236.286187,"Masculino","Parda","Janeiro","2003","Sim, um","Não sei","Não sei","Mais de 3 horas","Não faço trabalhos domésticos","Não","Continuar estudando e trabalhar"
"646",2017,"Sudeste","RJ",3303401,"Interior","Municipal","Urbana",318.699801,254.458236,"Feminino","Indígena","Agosto","2002","Sim, um","Não completou a 4.ª série/5.º ano do Ensino Fundamental","Não completou a 4.ª série/5.º ano do Ensino Fundametal","Mais de 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"516",2017,"Sudeste","MG",3165701,"Interior","Estadual","Urbana",306.468854,318.493852,"Feminino","Branca","Julho","2002","Não tem","Completou o Ensino Médio, mas não completou a Faculdade","Não sei","Mais de 3 horas","Entre 1 e 2 horas","Não","Somente continuar estudando"
"731",2017,"Sudeste","SP",3549904,"Interior","Municipal","Urbana",210.416827,220.690942,"Masculino","Parda","Agosto","2002","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou a Faculdade","Entre 1 e 2 horas","Menos de 1 hora","Sim","Continuar estudando e trabalhar"
"1161",2017,"Nordeste","PE",2600807,"Interior","Municipal","Urbana",221.634992,176.870742,"Masculino","Não quero declarar","Novembro","2000","Não tem","Não completou a 4.ª série/5.º ano do Ensino Fundamental","Não completou a 4.ª série/5.º ano do Ensino Fundametal","Não vejo TV, não navego na internet e não jogo jogos eletrônicos","Entre 1 e 2 horas","Sim","Somente continuar estudando"
"1609",2017,"Nordeste","CE",2304400,"Capital","Estadual","Urbana",251.815577,264.660877,"Masculino","Indígena","Novembro","2002","Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Mais de 3 horas","Menos de 1 hora","Não","Ainda não sei"
"799",2017,"Nordeste","PE",2613909,"Interior","Estadual","Urbana",298.245509,271.872385,"Feminino","Parda","Dezembro","2003","Sim, um","Não completou a 4.ª série/5.º ano do Ensino Fundamental","Não completou a 4.ª série/5.º ano do Ensino Fundametal","Mais de 2 horas, até 3 horas","Mais de 2 horas, até 3 horas","Sim","Somente continuar estudando"
"1186",2017,"Sul","SC",4211603,"Interior","Estadual","Urbana",324.82117,264.886291,"Masculino","Indígena","Abril","2003","Sim, dois","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 3 horas","Entre 1 e 2 horas","Não","Ainda não sei"
"1210",2017,"Nordeste","BA",2927408,"Capital","Estadual","Urbana",189.627016,176.327133,"Masculino","Indígena","Novembro","2002","Não tem","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Entre 1 e 2 horas","Entre 1 e 2 horas","Não","Somente continuar estudando"
"1976",2017,"Centro-Oeste","MT",5106158,"Interior","Estadual","Urbana",299.07516,330.374102,"Feminino","Parda","Novembro","2002","Sim, um","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Mais de 2 horas, até 3 horas","Mais de 2 horas, até 3 horas","Não","Ainda não sei"
"1744",2017,"Nordeste","CE",2300200,"Interior","Municipal","Urbana",233.093034,316.563667,"Masculino","Parda","Agosto","2002","Não tem","Não sei","Não sei","Mais de 3 horas","Entre 1 e 2 horas","Não","Somente continuar estudando"
"1854",2017,"Nordeste","PE",2609600,"Interior","Estadual","Urbana",242.45224,224.355131,"Feminino","Parda","Dezembro","2002","Não tem","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 3 horas","Entre 1 e 2 horas","Não","Somente continuar estudando"
"673",2017,"Norte","AM",1304062,"Interior","Municipal","Rural",191.637483,183.642265,"Masculino","Indígena","Abril","2003","Não tem","Nunca estudou","Nunca estudou","Menos de 1 hora","Menos de 1 hora","Sim","Somente continuar estudando"
"253",2017,"Nordeste","CE",2304400,"Capital","Municipal","Urbana",200.281246,177.487793,"Feminino","Branca","Agosto","2000","Não tem","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Menos de 1 hora","Menos de 1 hora","Não","Continuar estudando e trabalhar"
"1485",2017,"Centro-Oeste","GO",5208707,"Capital","Estadual","Urbana",247.8461,271.900611,"Feminino","Branca","Janeiro","2002","Não tem","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou o Ensino Médio, mas não completou a Faculdade","Entre 1 e 2 horas","Menos de 1 hora","Não","Continuar estudando e trabalhar"
"1327",2017,"Sudeste","MG",3115300,"Interior","Estadual","Urbana",282.546875,234.764183,"Masculino","Não quero declarar","Setembro","2002","Sim, um","Não sei","Não sei","Mais de 2 horas, até 3 horas","Não faço trabalhos domésticos","Sim","Continuar estudando e trabalhar"
"1028",2017,"Norte","AM",1302603,"Capital","Municipal","Urbana",317.863539,283.395706,"Feminino","Parda","Julho","2001","Sim, quatro ou mais","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 2 horas, até 3 horas","Menos de 1 hora","Não","Continuar estudando e trabalhar"
"1188",2017,"Nordeste","MA",2107803,"Interior","Municipal","Urbana",299.008717,198.694013,"Feminino","Parda","Maio","2003","Não tem","Completou o Ensino Médio, mas não completou a Faculdade","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Mais de 2 horas, até 3 horas","Entre 1 e 2 horas","Não","Ainda não sei"
"1150",2017,"Sudeste","MG",3157807,"Interior","Estadual","Urbana",300.864482,270.541197,"Feminino","Parda","Setembro","2002","Sim, um","Completou a Faculdade","Não sei","Mais de 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"732",2017,"Nordeste","RN",2402808,"Interior","Municipal","Urbana",188.001982,209.922111,"Masculino","Branca","Outubro","1998 ou antes","Não tem","Nunca estudou","Nunca estudou","Entre 1 e 2 horas","Menos de 1 hora","Não","Ainda não sei"
"526",2017,"Nordeste","PE",2611606,"Capital","Municipal","Urbana",312.821284,311.192917,"Masculino","Parda","Maio","2002","Não tem","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a Faculdade","Mais de 3 horas","Entre 1 e 2 horas","Não","Ainda não sei"
"1685",2017,"Nordeste","AL",2708303,"Interior","Municipal","Urbana",196.900056,256.193805,"Feminino","Parda","Março","2002","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Não sei","Mais de 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"1432",2017,"Norte","TO",1703800,"Interior","Estadual","Urbana",227.515823,193.890794,"Feminino","Parda","Setembro","2002","Não tem","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Menos de 1 hora",NA,"Sim","Somente continuar estudando"
"1331",2017,"Nordeste","PE",2611002,"Interior","Estadual","Rural",329.203791,331.106515,"Masculino","Parda","Dezembro","2002","Não tem","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Não completou a 4.ª série/5.º ano do Ensino Fundametal","Mais de 2 horas, até 3 horas","Menos de 1 hora","Não","Continuar estudando e trabalhar"
"134",2017,"Sul","SC",4216404,"Interior","Estadual","Urbana",171.645974,224.798637,"Masculino","Não quero declarar","Maio","2002","Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Não completou a 4.ª série/5.º ano do Ensino Fundametal","Mais de 3 horas","Não faço trabalhos domésticos","Sim","Ainda não sei"
"919",2017,"Sudeste","MG",3170206,"Interior","Municipal","Urbana",219.540012,278.780565,"Feminino","Preta","Março","2001","Sim, dois","Completou o Ensino Médio, mas não completou a Faculdade","Não sei","Mais de 3 horas","Mais de 2 horas, até 3 horas","Não","Continuar estudando e trabalhar"
"475",2017,"Norte","PA",1506807,"Interior","Municipal","Urbana",231.827705,228.212037,"Feminino","Parda","Outubro","2002","Não tem","Não sei","Não sei","Entre 1 e 2 horas","Entre 1 e 2 horas","Não","Somente continuar estudando"
"1208",2017,"Nordeste","BA",2927408,"Capital","Estadual","Urbana",227.260906,195.830202,"Masculino","Parda","Setembro","2001","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Mais de 2 horas, até 3 horas","Menos de 1 hora","Não","Continuar estudando e trabalhar"
"19",2017,"Sudeste","MG",3128105,"Interior","Municipal","Rural",299.978305,209.39935,"Feminino","Parda","Maio","2001","Não tem","Não completou a 4.ª série/5.º ano do Ensino Fundamental","Não completou a 4.ª série/5.º ano do Ensino Fundametal","Não vejo TV, não navego na internet e não jogo jogos eletrônicos","Menos de 1 hora","Sim","Continuar estudando e trabalhar"
"1149",2017,"Sudeste","SP",3542107,"Interior","Estadual","Urbana",307.308697,260.914806,"Masculino","Parda","Agosto","2001","Sim, dois","Completou a Faculdade","Completou a Faculdade","Entre 1 e 2 horas","Menos de 1 hora","Não","Continuar estudando e trabalhar"
"1522",2017,"Centro-Oeste","GO",5203500,"Interior","Estadual","Urbana",249.92907,254.140488,"Masculino","Parda","Agosto","2001","Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Menos de 1 hora","Não faço trabalhos domésticos","Não","Continuar estudando e trabalhar"
"1217",2017,"Sudeste","SP",3534401,"Interior","Estadual","Urbana",179.383452,185.899086,"Masculino","Não quero declarar","Setembro","2002","Sim, três","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Mais de 2 horas, até 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"774",2017,"Sudeste","SP",3550308,"Capital","Estadual","Urbana",242.476536,232.563311,"Feminino","Branca","Janeiro","2003","Não tem","Não sei","Não sei","Menos de 1 hora","Entre 1 e 2 horas","Não","Somente trabalhar"
"1399",2017,"Sudeste","RJ",3300704,"Interior","Municipal","Urbana",231.105982,280.869764,NA,"Preta","Março","2002","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Mais de 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"1528",2017,"Sudeste","SP",3511102,"Interior","Municipal","Urbana",248.983778,282.564699,"Masculino","Parda","Novembro","2001","Não tem","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 2 horas, até 3 horas","Entre 1 e 2 horas","Não","Somente continuar estudando"
"1045",2017,"Sudeste","RJ",3304201,"Interior","Municipal","Urbana",268.367992,278.55666,"Feminino","Branca","Junho","2002","Não tem","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"1684",2017,"Sudeste","RJ",3303500,"Interior","Estadual","Urbana",305.004418,232.516752,"Feminino","Parda","Fevereiro","2003","Não tem","Não sei","Completou o Ensino Médio, mas não completou a Faculdade","Menos de 1 hora","Mais de 2 horas, até 3 horas","Não","Ainda não sei"
"361",2017,"Nordeste","RN",2408102,"Capital","Estadual","Urbana",201.634724,219.249591,"Masculino","Branca","Agosto","2000","Não tem","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Não sei","Mais de 2 horas, até 3 horas","Menos de 1 hora","Não","Somente continuar estudando"
"1070",2017,"Nordeste","RN",2401453,"Interior","Estadual","Urbana",195.339646,187.498892,"Masculino","Branca","Agosto","1999","Sim, um","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Nunca estudou","Entre 1 e 2 horas","Menos de 1 hora","Não","Continuar estudando e trabalhar"
"1779",2017,"Nordeste","PI",2210391,"Interior","Municipal","Urbana",229.403432,294.240215,"Masculino","Indígena","Maio","2003","Sim, um","Não completou a 4.ª série/5.º ano do Ensino Fundamental","Não sei","Mais de 2 horas, até 3 horas","Não faço trabalhos domésticos","Não","Somente continuar estudando"
"566",2017,"Nordeste","CE",2302602,"Interior","Municipal","Rural",149.070973,195.695446,"Feminino","Branca","Julho","2002","Não tem","Não sei","Não sei","Menos de 1 hora","Não faço trabalhos domésticos","Não","Somente trabalhar"
"1458",2017,"Sul","SC",4205308,"Interior","Estadual","Rural",277.921788,296.819478,"Masculino","Branca","Outubro","2002","Sim, um","Não sei","Não sei","Mais de 3 horas","Mais de 3 horas","Não","Somente continuar estudando"
"444",2017,"Sudeste","SP",3530607,"Interior","Municipal","Urbana",229.569043,273.205976,"Masculino","Branca","Agosto","2003","Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a Faculdade","Entre 1 e 2 horas","Mais de 2 horas, até 3 horas","Não","Continuar estudando e trabalhar"
"792",2017,"Norte","AM",1302603,"Capital","Estadual","Urbana",184.216076,204.397825,"Masculino","Parda","Março","2002","Sim, um","Não sei","Completou a Faculdade","Menos de 1 hora","Menos de 1 hora","Não","Continuar estudando e trabalhar"
"341",2017,"Sul","RS",4320008,"Interior","Municipal","Urbana",299.386823,308.560892,"Masculino","Branca","Junho","2002","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou a Faculdade","Mais de 3 horas","Menos de 1 hora","Não","Somente continuar estudando"
"9",2017,"Centro-Oeste","MT",5103056,"Interior","Municipal","Urbana",212.893218,145.401349,"Masculino","Branca","Dezembro","2001","Não tem","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 3 horas","Menos de 1 hora","Não","Somente continuar estudando"
"1001",2017,"Sudeste","SP",3524204,"Interior","Municipal","Urbana",315.339987,308.650655,"Feminino","Parda","Março","2003","Sim, um","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou o Ensino Médio, mas não completou a Faculdade","Menos de 1 hora","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"237",2017,"Sudeste","RJ",3304904,"Interior","Estadual","Urbana",217.784793,264.518631,"Masculino","Preta","Dezembro","2002","Sim, um","Não sei","Não sei","Entre 1 e 2 horas",NA,"Não","Continuar estudando e trabalhar"
"72",2017,"Sudeste","MG",3152709,"Interior","Estadual","Urbana",245.997828,247.425528,"Masculino","Parda","Janeiro","2003","Sim, dois","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Não sei","Mais de 3 horas","Menos de 1 hora","Não","Continuar estudando e trabalhar"
"1674",2017,"Sudeste","SP",3518800,"Interior","Estadual","Urbana",187.903695,229.567761,"Masculino","Parda","Junho","2001","Não tem","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",NA,NA,NA,NA
